concept_name,source_concept_id,source_vocabulary_id,source_domain_id,source_concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,target_concept_id,relationship_id,reverese_relationship_id,relationship_valid_start_date,relationship_end_date,invalid_reason_cr
Sensitive,2000025991,mimiciv_micro_resistance,Meas Value,Answer,,S,1970-01-01,2099-12-31,,45884178,Maps to,Mapped from,1970-01-01,2099-12-31,
Resistant,2000025992,mimiciv_micro_resistance,Meas Value,Answer,,R,1970-01-01,2099-12-31,,45878594,Maps to,Mapped from,1970-01-01,2099-12-31,
Intermediate,2000025993,mimiciv_micro_resistance,Meas Value,Answer,,I,1970-01-01,2099-12-31,,45881795,Maps to,Mapped from,1970-01-01,2099-12-31,
Pending,2000025994,mimiciv_micro_resistance,Meas Value,Answer,,P,1970-01-01,2099-12-31,,1177297,Maps to,Mapped from,1970-01-01,2099-12-31,
