"concept_name","source_concept_id","source_vocabulary_id","source_domain_id","source_concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","target_concept_id","relationship_id","reverese_relationship_id","relationship_valid_start_date","relationship_end_date","invalid_reason_cr"
264957007,2000003037,"mimiciv_proc_itemid","Procedure","Procedure",,225433,"1970-01-01","2099-12-31",,4141919,"Maps to","Mapped from","1970-01-01","2099-12-31",
714749008,2000003038,"mimiciv_proc_itemid","Procedure","Procedure",,225802,"1970-01-01","2099-12-31",,37018292,"Maps to","Mapped from","1970-01-01","2099-12-31",
91602002,2000003039,"mimiciv_proc_itemid","Procedure","Procedure",,225479,"1970-01-01","2099-12-31",,4240305,"Maps to","Mapped from","1970-01-01","2099-12-31",
117010004,2000003040,"mimiciv_proc_itemid","Procedure","Procedure",,225454,"1970-01-01","2099-12-31",,4024509,"Maps to","Mapped from","1970-01-01","2099-12-31",
22759000,2000003041,"mimiciv_proc_itemid","Procedure","Procedure",,228127,"1970-01-01","2099-12-31",,4332162,"Maps to","Mapped from","1970-01-01","2099-12-31",
22759000,2000003042,"mimiciv_proc_itemid","Procedure","Procedure",,228126,"1970-01-01","2099-12-31",,4332162,"Maps to","Mapped from","1970-01-01","2099-12-31",
233575001,2000003043,"mimiciv_proc_itemid","Procedure","Procedure",,225441,"1970-01-01","2099-12-31",,4051326,"Maps to","Mapped from","1970-01-01","2099-12-31",
312882009,2000003044,"mimiciv_proc_itemid","Procedure","Procedure",,225966,"1970-01-01","2099-12-31",,4208080,"Maps to","Mapped from","1970-01-01","2099-12-31",
782971002,2000003045,"mimiciv_proc_itemid","Procedure","Procedure",,225817,"1970-01-01","2099-12-31",,37204340,"Maps to","Mapped from","1970-01-01","2099-12-31",
241031001,2000003046,"mimiciv_proc_itemid","Procedure","Procedure",,227711,"1970-01-01","2099-12-31",,4081548,"Maps to","Mapped from","1970-01-01","2099-12-31",
241031001,2000003047,"mimiciv_proc_itemid","Procedure","Procedure",,227714,"1970-01-01","2099-12-31",,4081548,"Maps to","Mapped from","1970-01-01","2099-12-31",
230940006,2000003048,"mimiciv_proc_itemid","Procedure","Procedure",,226124,"1970-01-01","2099-12-31",,4048955,"Maps to","Mapped from","1970-01-01","2099-12-31",
446523001,2000003049,"mimiciv_proc_itemid","Procedure","Procedure",,226475,"1970-01-01","2099-12-31",,40488299,"Maps to","Mapped from","1970-01-01","2099-12-31",
20720000,2000003050,"mimiciv_proc_itemid","Procedure","Procedure",,227551,"1970-01-01","2099-12-31",,4049372,"Maps to","Mapped from","1970-01-01","2099-12-31",
271280005,2000003051,"mimiciv_proc_itemid","Procedure","Procedure",,227194,"1970-01-01","2099-12-31",,4150627,"Maps to","Mapped from","1970-01-01","2099-12-31",
271280005,2000003052,"mimiciv_proc_itemid","Procedure","Procedure",,225468,"1970-01-01","2099-12-31",,4150627,"Maps to","Mapped from","1970-01-01","2099-12-31",
271280005,2000003053,"mimiciv_proc_itemid","Procedure","Procedure",,225477,"1970-01-01","2099-12-31",,4150627,"Maps to","Mapped from","1970-01-01","2099-12-31",
233520008,2000003054,"mimiciv_proc_itemid","Procedure","Procedure",,224275,"1970-01-01","2099-12-31",,4049832,"Maps to","Mapped from","1970-01-01","2099-12-31",
233520008,2000003055,"mimiciv_proc_itemid","Procedure","Procedure",,224277,"1970-01-01","2099-12-31",,4049832,"Maps to","Mapped from","1970-01-01","2099-12-31",
233520008,2000003056,"mimiciv_proc_itemid","Procedure","Procedure",,224274,"1970-01-01","2099-12-31",,4049832,"Maps to","Mapped from","1970-01-01","2099-12-31",
233520008,2000003057,"mimiciv_proc_itemid","Procedure","Procedure",,224276,"1970-01-01","2099-12-31",,4049832,"Maps to","Mapped from","1970-01-01","2099-12-31",
233520008,2000003058,"mimiciv_proc_itemid","Procedure","Procedure",,224566,"1970-01-01","2099-12-31",,4049832,"Maps to","Mapped from","1970-01-01","2099-12-31",
233520008,2000003059,"mimiciv_proc_itemid","Procedure","Procedure",,225205,"1970-01-01","2099-12-31",,4049832,"Maps to","Mapped from","1970-01-01","2099-12-31",
177765008,2000003060,"mimiciv_proc_itemid","Procedure","Procedure",,225467,"1970-01-01","2099-12-31",,4073393,"Maps to","Mapped from","1970-01-01","2099-12-31",
16965008,2000003061,"mimiciv_proc_itemid","Procedure","Procedure",,224272,"1970-01-01","2099-12-31",,4060257,"Maps to","Mapped from","1970-01-01","2099-12-31",
230938001,2000003062,"mimiciv_proc_itemid","Procedure","Procedure",,226474,"1970-01-01","2099-12-31",,4045610,"Maps to","Mapped from","1970-01-01","2099-12-31",
711066004,2000003063,"mimiciv_proc_itemid","Procedure","Procedure",,228129,"1970-01-01","2099-12-31",,46273928,"Maps to","Mapped from","1970-01-01","2099-12-31",
711066004,2000003064,"mimiciv_proc_itemid","Procedure","Procedure",,228128,"1970-01-01","2099-12-31",,46273928,"Maps to","Mapped from","1970-01-01","2099-12-31",
